Year,Hist CO2 (W/m²),CO2 (ppm),Earth CO2 (tot) (Gg/yr),Earth CO2 (fuel) (Gg/yr)
1751,0.0014160691022487,277.18798828125,29740.303,9357.5642
1752,0.0028318009627473,277.22900390625,49787.617,9361.2333
1753,0.0042471957575695,277.2630004882812,69831.152,9361.2357
1754,0.0056622536626548,277.3039855957031,89878.467,9364.9048
1755,0.0070769748538047,277.3510131835938,109925.78,9368.5739
1756,0.0084913595066792,277.3890075683594,130634.66,10013.916
1757,0.0099054077968045,277.4419860839844,150681.97,10017.585
1758,0.011319119899568,277.489013671875,170729.29,10021.254
1759,0.0127324959902212,277.5400085449219,190776.6,10024.923
1760,0.0141455362438733,277.6050109863281,210820.13,10024.925
1761,0.0155582408355038,277.6640014648438,231850.36,10981.937
1762,0.0169706099399518,277.7319946289062,251897.69,10985.606
1763,0.0183826437319171,277.7959899902344,271945.02,10989.276
1764,0.0197943423859665,277.8590087890625,291992.35,10992.946
1765,0.0212057060765304,277.9129943847656,312039.68,10996.615
1766,0.0226167349778992,277.9580078125,333395.01,12268.963
1767,0.0240274292642308,278.0169982910156,353442.35,12272.633
1768,0.0254377891095469,278.0780029296875,373489.68,12276.302
1769,0.0268478146877299,278.135009765625,393537.01,12279.972
1770,0.0282575061725298,278.1940002441406,413584.34,12283.641
1771,0.0296668637375598,278.2699890136719,435007.74,13621.99
1772,0.0310758875562991,278.3340148925781,455055.09,13625.66
1773,0.0324845778020876,278.4119873046875,475102.44,13629.331
1774,0.0338929346481338,278.4909973144531,495149.79,13633.001
1775,0.035300958267511,278.5859985351562,515197.14,13636.671
1776,0.0367086488331541,278.6830139160156,536696.15,15048.354
1777,0.0381160065178666,278.7739868164062,556794.35,15102.876
1778,0.0395230314943177,278.8659973144531,576894.34,15159.183
1779,0.0409297239350381,278.9590148925781,596996.11,15217.274
1780,0.0423360840124281,279.0539855957031,617103.45,15280.815
1781,0.0437421118987522,279.1449890136719,639052.96,17131.287
1782,0.045147807766141,279.2430114746094,659164.49,17199.111
1783,0.0465531717865912,279.3399963378906,679282.83,17273.637
1784,0.0479582041319668,279.4339904785156,699400.42,17347.531
1785,0.0493629049739945,279.5320129394531,719529.14,17431.794
1786,0.050767274484271,279.6289978027344,742004.18,19792.446
1787,0.0521713128342585,279.72900390625,762134.66,19879.112
1788,0.0535750201952872,279.8309936523438,782264.39,19965.147
1789,0.0549783967385504,279.9330139160156,802400.94,20057.884
1790,0.056381442635112,280.0369873046875,822540.53,20153.655
1791,0.0577841580559033,280.1409912109375,844989.18,22489.149
1792,0.0591865431717189,280.2409973144531,865650.17,23060.329
1793,0.0605885981532247,280.3320007324219,885810.96,23176.206
1794,0.0619903231709541,280.4150085449219,905918.67,23243.785
1795,0.0633917183953045,280.4920043945312,926077.48,23358.399
1796,0.0647927839965447,280.5549926757812,947326.15,24524.724
1797,0.0661935201448117,280.6229858398438,968659.89,25778.419
1798,0.0675939270101067,280.6820068359375,989849.96,26892.147
1799,0.068994004762303,280.7529907226562,1011388.8,28342.58
1800,0.0703937535711407,280.8340148925781,1033277.5,30126.052
1801,0.0717931736062289,280.9190063476562,1053287.1,30113.806
1802,0.0731922650370448,280.9939880371094,1081069.8,36810.041
1803,0.0745910280329349,281.072998046875,1103487.8,40117.595
1804,0.0759894627631153,281.1570129394531,1124527.7,40736.887
1805,0.0773875693966678,281.2340087890625,1145562.0,42011.445
1806,0.0787853481025472,281.3219909667969,1167270.1,43631.783
1807,0.0801827990495771,281.4089965820312,1189366.6,45455.672
1808,0.0815799224064473,281.4960021972656,1207531.1,43806.549
1809,0.0829767183417207,281.5660095214844,1227594.4,43822.68
1810,0.0843731870238299,281.6480102539062,1248115.2,43975.943
1811,0.0857693286210737,281.7179870605469,1270420.6,46180.502
1812,0.0871651433016245,281.7900085449219,1291957.5,47608.394
1813,0.0885606312335236,281.8580017089844,1312203.2,47823.353
1814,0.0899557925846838,281.9309997558594,1333191.6,48735.801
1815,0.0913506275228847,281.9920043945312,1354680.9,50100.143
1816,0.0927451362157797,282.0589904785156,1379148.7,54285.137
1817,0.0941393188308934,282.1270141601562,1401106.7,56058.475
1818,0.0955331755356171,282.2000122070312,1421352.9,56278.237
1819,0.0969267064972168,282.2720031738281,1441550.1,56337.84
1820,0.0983199118828294,282.3460083007812,1462422.8,57070.003
1821,0.0997127918594583,282.4150085449219,1483259.2,57808.565
1822,0.1011053465939854,282.4769897460938,1505414.3,59829.49
1823,0.1024975762531604,282.5400085449219,1528647.9,62905.395
1824,0.1038894810036021,282.6180114746094,1550721.4,64869.211
1825,0.1052810610118047,282.6759948730469,1573182.5,67088.569
1826,0.1066723164441341,282.6929931640625,1593922.8,67737.404
1827,0.1080632474668247,282.6929931640625,1618834.7,72220.384
1828,0.1094538542459865,282.7080078125,1639643.4,72925.39
1829,0.1108441369476004,282.760986328125,1659381.1,72664.734
1830,0.1122340957375212,282.8250122070312,1697276.5,89188.862
1831,0.1136237307814721,282.8909912109375,1712361.9,84590.821
1832,0.1150130422450529,282.9219970703125,1733037.1,85178.606
1833,0.116402030293736,282.9660034179688,1754933.4,86879.059
1834,0.117790695092863,283.0280151367188,1777003.1,88584.324
1835,0.1191790368076521,283.0859985351562,1799238.7,90576.974
1836,0.1205670556031947,283.1489868164062,1834349.8,104924.23
1837,0.1219547516444519,283.197998046875,1854519.7,104845.03
1838,0.1233421250962616,283.2529907226562,1878255.9,108204.14
1839,0.1247291761233341,283.3110046386719,1902066.8,111735.16
1840,0.1261159048902534,283.3819885253906,1929957.2,119061.32
1841,0.1275023115614773,283.4670104980469,1954148.9,122757.76
1842,0.1288883963013372,283.5279846191406,1981639.6,129651.94
1843,0.1302741592740401,283.5660095214844,2004961.3,133008.25
1844,0.1316596006436633,283.6090087890625,2034209.3,141590.19
1845,0.1330447205741621,283.7250061035156,2069117.7,155394.19
1846,0.1344295192293662,283.8469848632812,2092724.2,157986.2
1847,0.1358139967729761,283.9360046386719,2128435.6,172613.2
1848,0.1371981533685708,284.0679931640625,2149518.7,174037.37
