Year,Earth CO2 (tot) (Gg/yr),Earth CO2 (fuel) (Gg/yr),Earth CH4 (tot) (Gg/yr),Earth CH4 (fuel) (Gg/yr),Asia Pacific CO2 (tot) (Gg/yr),Asia Pacific CO2 (fuel) (Gg/yr),Asia Pacific CH4 (tot) (Gg/yr),Asia Pacific CH4 (fuel) (Gg/yr),North America CO2 (tot) (Gg/yr),North America CO2 (fuel) (Gg/yr),North America CH4 (tot) (Gg/yr),North America CH4 (fuel) (Gg/yr),Europe CO2 (tot) (Gg/yr),Europe CO2 (fuel) (Gg/yr),Europe CH4 (tot) (Gg/yr),Europe CH4 (fuel) (Gg/yr),Eurasia CO2 (tot) (Gg/yr),Eurasia CO2 (fuel) (Gg/yr),Eurasia CH4 (tot) (Gg/yr),Eurasia CH4 (fuel) (Gg/yr),Central & South America CO2 (tot) (Gg/yr),Central & South America CO2 (fuel) (Gg/yr),Central & South America CH4 (tot) (Gg/yr),Central & South America CH4 (fuel) (Gg/yr),Middle East CO2 (tot) (Gg/yr),Middle East CO2 (fuel) (Gg/yr),Middle East CH4 (tot) (Gg/yr),Middle East CH4 (fuel) (Gg/yr),Africa CO2 (tot) (Gg/yr),Africa CO2 (fuel) (Gg/yr),Africa CH4 (tot) (Gg/yr),Africa CH4 (fuel) (Gg/yr),United States CO2 (tot) (Gg/yr),United States CO2 (fuel) (Gg/yr),United States CH4 (tot) (Gg/yr),United States CH4 (fuel) (Gg/yr),China CO2 (tot) (Gg/yr),China CO2 (fuel) (Gg/yr),China CH4 (tot) (Gg/yr),China CH4 (fuel) (Gg/yr),European Union CO2 (tot) (Gg/yr),European Union CO2 (fuel) (Gg/yr),European Union CH4 (tot) (Gg/yr),European Union CH4 (fuel) (Gg/yr),Japan CO2 (tot) (Gg/yr),Japan CO2 (fuel) (Gg/yr),Japan CH4 (tot) (Gg/yr),Japan CH4 (fuel) (Gg/yr),Russia CO2 (tot) (Gg/yr),Russia CO2 (fuel) (Gg/yr),Russia CH4 (tot) (Gg/yr),Russia CH4 (fuel) (Gg/yr),India CO2 (tot) (Gg/yr),India CO2 (fuel) (Gg/yr),India CH4 (tot) (Gg/yr),India CH4 (fuel) (Gg/yr),SouthEast Asia CO2 (tot) (Gg/yr),SouthEast Asia CO2 (fuel) (Gg/yr),SouthEast Asia CH4 (tot) (Gg/yr),SouthEast Asia CH4 (fuel) (Gg/yr),Brazil CO2 (tot) (Gg/yr),Brazil CO2 (fuel) (Gg/yr),Brazil CH4 (tot) (Gg/yr),Brazil CH4 (fuel) (Gg/yr)
1750,339.34992,0.14333886,26929.204,5398.4297,2.88523651056e-11,0.0,13430.907354774099,2062.50417155372,1.636095728e-10,0.0,461.401739,163.617801,335.82985736484716,0.0,1818.8294456571998,578.83422412738,1.897693151e-11,0.0,1669.5080042000004,544.9352488100001,1.191001458978e-11,0.0,563.3708609352001,85.647124551027,3.5971226400000004e-14,0.0,311.31137667999997,81.79489894299999,2.386497331999627,0.030141602,2149.2753356690005,221.82648692676398,1.6007107e-10,0.0,229.96355,125.92743,1.2732926e-11,0.0,5704.5625,1044.8586,1.1335732000239924,0.11319726,5308.87763976,1546.2284795459996,-2.2382096e-13,0.0,284.14285,29.936661,1.5688784e-11,0.0,1447.5785,535.03805,7.5033313e-12,0.0,5595.3064,484.53403,4.226288788600001e-11,0.0,1215.71241409,113.03709761342701,9.094947e-12,0.0,120.96637,7.3416404
1751,29740.303,9357.5642,27003.076,5412.5472,4181.91450444,0.0,13463.204228747098,2066.7810084998096,8777.765969999999,0.0,466.546584,166.200378,10928.45207140367,9357.4184,1824.6151060973,580.22003103804,1711.91192315,0.0,1677.8376018000001,547.7459203930001,732.9045358059999,0.0,566.5506532143999,86.161422239398,3.0746046,0.0,312.04698753,81.986510299,-47.4934204907,0.0302896718,2150.1326677521997,221.67983328834092,8517.3041,0.0,233.94835,128.09639,2956.2256,0.0,5721.909,1047.8668,1451.6937894999999,0.1154612,5323.835805660001,1548.5067730820003,-26.935713,0.0,284.4429,29.95109,1507.2901,0.0,1455.0875,537.81343,1065.6145,0.0,5606.593,485.39049,2000.0787161199999,0.0,1218.296662619,113.26122809268999,609.26127,0.0,122.06474,7.4042564
1752,49787.617,9361.2333,27076.927,5426.6235,8363.82921287,0.0,13495.498898362901,2071.0554555317303,17555.531750000002,0.0,471.68904,168.780563,12167.436137046503,9361.0851,1830.4089395428002,581.5946247775399,3423.8238361999997,0.0,1686.1671885000003,550.5565819880001,1465.8090325600006,0.0,569.7296114314,86.67487774046599,6.1492093,0.0,312.78242626,82.17794406,-97.37334004290001,0.030437741600000002,2150.9900002544,221.533246523875,17034.608,0.0,237.93133,130.26352,5912.4513,0.0,5739.2542,1050.8736,2902.2539560999994,0.11772515,5338.7697096,1550.7607943319995,-53.871426,0.0,284.74291,29.965476,3014.5802,0.0,1462.5965,540.58881,2131.2291,0.0,5617.8791,486.24641,4000.1574341999994,0.0,1220.880814437,113.48526248047303,1218.5225,0.0,123.16304,7.4667947
1753,69831.152,9361.2357,27150.708,5440.6497,12545.74372141,0.0,13527.791200623398,2075.32772356279,26333.29762,0.0,476.829098,171.358368,13402.639598382351,9361.0851,1836.1631713301,582.9489833613999,5135.735861300001,0.0,1694.4966642,553.367243561,2198.71358904,0.0,572.9077152723002,87.18749158831903,9.2238139,0.0,313.51768217000006,82.369202054,-147.25325527650003,0.0305858124,2151.8474456966005,221.38672535214604,25551.912,0.0,241.91248,132.42883,8868.6769,0.0,5756.5981,1053.8792,4352.8141651999995,0.11998909,5353.6794463900005,1552.9906127059996,-80.807138,0.0,285.04288,29.979819,4521.8704,0.0,1470.1054,543.3642,3196.8436,0.0,5629.1646,487.10179,6000.236091350001,0.0,1223.464859355,113.70919567678601,1827.7838,0.0,124.26125,7.5292551
1754,89878.467,9364.9048,27224.467,5454.6348,16727.658728199996,0.0,13560.081257638507,2079.5977125908003,35111.06349,0.0,481.96678699999995,173.933782,14641.623995723186,9364.7518,1841.9255902217,584.2921416851099,6847.647778,0.0,1702.8262307999998,556.1778850329999,2931.6181472799994,0.0,576.0849866410998,87.69926346674899,12.2984185,0.0,314.25277405,82.56028327199999,-197.13317830390002,0.0307338822,2152.7049334968,221.24026869135506,34069.216,0.0,245.89181,134.59231,11824.903,0.0,5773.9407,1056.8835,5803.374392199999,0.12225304,5368.56488613,1555.1962208739994,-107.74285,0.0,285.3428,29.994119,6029.1605,0.0,1477.6144,546.13958,4262.4581,0.0,5640.4496,487.95663,8000.314920500001,0.0,1226.048807573,113.93303088162901,2437.0451,0.0,125.35939,7.5916377
1755,109925.78,9368.5739,27298.18,5468.5741,20909.5727298,0.0,13592.369059398205,2083.86540951662,43888.829379999996,0.0,487.102079,176.506804,15880.608502067023,9368.4185,1847.672274828,585.6195787784101,8559.5597102,0.0,1711.1557885,558.9885164269999,3664.522725579999,0.0,579.2614105768,88.21019248987498,15.373023100000001,0.0,314.98767089999996,82.751190804,-247.0130933604,0.030881952,2153.562478595,221.09387536241996,42586.52,0.0,249.86931,136.75396,14781.128,0.0,5791.2821,1059.8865,7253.934568600001,0.12451698,5383.426142820001,1557.3775648660003,-134.67856,0.0,285.64269,30.008375,7536.4506,0.0,1485.1234,548.91496,5328.0727,0.0,5651.734,488.81093,10000.393560640001,0.0,1228.6326588919999,114.156766884981,3046.3064,0.0,126.45745,7.6539425
1756,130634.66,10013.916,27376.032,5483.2574,25091.487630299995,0.0,13624.6546257047,2088.1309285175003,52666.59525,0.0,492.23498199999995,179.077444,17781.15200040185,10013.758,1857.5872661480003,587.7208614451799,10271.4716225,0.0,1719.4852332,561.799137702,4397.427206880001,0.0,582.4369946274,88.72028071578599,18.4476278,0.0,315.72240483999997,82.94191955,-296.8930095681001,0.0310300217,2154.4201171532,220.94754862632297,51103.824,0.0,253.84498,138.91379,17737.354,0.0,5808.6222,1062.8883,8704.494705899999,0.12678093,5398.26311845,1559.5347086719999,-161.61428,0.0,285.94252,30.022589,9043.7407,0.0,1492.6323,551.69034,6393.6872,0.0,5663.0179,489.66469,12000.4721907,0.0,1231.21640451,114.38040269687399,3655.5676,0.0,127.55543,7.7161695
1757,150681.97,10017.585,27449.654,5497.1054,29273.4025459,0.0,13656.9380663429,2092.3941662363195,61444.361119999994,0.0,497.365497,181.645704,19020.1364107397,10017.424,1863.3023341674,589.0166820996,11983.3837447,0.0,1727.8147697999998,564.609748876,5130.33176827,0.0,585.6117415338,89.22952695537398,21.522233,0.0,316.4569568500001,83.132472619,-346.7729343547001,0.0311780925,2155.2777877403996,220.80128687316395,59621.128,0.0,257.81883,141.0718,20693.58,0.0,5825.9611,1065.8888,10155.0548997,0.12904487,5413.07594614,1561.6675963719997,-188.54999,0.0,286.24232,30.036759,10551.031,0.0,1500.1413,554.46572,7459.3017,0.0,5674.3013,490.51792,14000.5510308,0.0,1233.800052328,114.60394160728701,4264.8289,0.0,128.65334,7.7783187
1758,170729.29,10021.254,27523.23,5510.9076,33455.31644550001,0.0,13689.219051617703,2096.6551161420703,70222.12797,0.0,502.493634,184.21156200000001,20259.119921077527,10021.091,1869.0016921104,590.29678952663,13695.295564999999,0.0,1736.1442955,567.4203500699998,5863.236299469998,0.0,588.7856352581999,89.73793044965798,24.596837,0.0,317.19134372999997,83.322849813,-396.65283951229986,0.0313261623,2156.1355417656,220.65508837684095,68138.433,0.0,261.79085,143.22797,23649.805,0.0,5843.2986,1068.888,11605.615119599997,0.13130882,5427.86447267,1563.7762530959997,-215.4857,0.0,286.54207,30.050887,12058.321,0.0,1507.6503,557.2411,8524.9162,0.0,5685.5841,491.3706,16000.629670999999,0.0,1236.3836142359999,114.82738033622,4874.0902,0.0,129.75116,7.8403901
1759,190776.6,10024.923,27596.76,5524.6642,37637.2314359,0.0,13721.497889265202,2100.9137940346704,78999.8939,0.0,507.619382,186.775049,21498.104392415327,10024.758,1874.685324577,591.5611646562501,15407.207393200002,0.0,1744.4737122,570.230951154,6596.140827869997,0.0,591.9586932165,90.24549290762799,27.671442,0.0,317.92553660000004,83.51305052999999,-446.53275956990007,0.0314742321,2156.9933623309003,220.508956896376,76655.737,0.0,265.76105,145.38233,26606.031,0.0,5860.6349,1071.8859,13056.1754714,0.13357276,5442.628733250001,1565.8607004239998,-242.42142,0.0,286.84178,30.064971,13565.611,0.0,1515.1592,560.01649,9590.5308,0.0,5696.8664,492.22275,18000.708510999997,0.0,1238.967058455,115.05071976368299,5483.3514,0.0,130.84891,7.9023836
