Year,SSP1-2.6 CO2 (ppm),SSP1-2.6 CH4 (ppb)
2015,399.9491577148438,1841.961059570312
2016,403.1169738769531,1851.593872070312
2017,405.751953125,1872.298706054688
2018,408.5919494628906,1881.13037109375
2019,411.4169616699219,1886.409912109375
2020,414.2319641113281,1888.389770507812
2021,417.0419616699219,1887.299682617188
2022,419.8089599609375,1883.939697265625
2023,422.4989624023438,1879.049560546875
2024,425.1199645996094,1872.74951171875
2025,427.6739501953125,1865.12939453125
2026,430.1659545898438,1856.29931640625
2027,432.5979614257812,1846.33935546875
2028,434.9739685058594,1835.329223632812
2029,437.2949523925781,1823.349243164062
2030,439.56396484375,1810.469116210938
2031,441.7809753417969,1796.759155273438
2032,443.928955078125,1782.539184570312
2033,445.9899597167969,1768.09912109375
2034,447.9689636230469,1753.479125976562
2035,449.865966796875,1738.669189453125
2036,451.6849670410156,1723.719116210938
2037,453.4259643554688,1708.619140625
2038,455.0919799804688,1693.38916015625
2039,456.6839599609375,1678.049072265625
2040,458.2009582519531,1662.609130859375
2041,459.64697265625,1647.0791015625
2042,461.0189819335938,1631.689208984375
2043,462.3149719238281,1616.649169921875
2044,463.5359802246094,1601.939208984375
2045,464.6829833984375,1587.529174804688
2046,465.7549743652344,1573.399169921875
2047,466.7529907226562,1559.539184570312
2048,467.677978515625,1545.92919921875
2049,468.5299682617188,1532.539184570312
2050,469.3099670410156,1519.359252929688
2051,470.0189819335938,1506.379272460938
2052,470.6629943847656,1493.659301757812
2053,471.2499694824219,1481.249267578125
2054,471.7789916992188,1469.139282226562
2055,472.2509765625,1457.309326171875
2056,472.6649780273438,1445.729370117188
2057,473.02197265625,1434.399291992188
2058,473.3219909667969,1423.289306640625
2059,473.5639953613281,1412.389404296875
2060,473.75,1401.689331054688
2061,473.8779907226562,1391.179321289062
2062,473.958984375,1380.779418945312
2063,473.9989929199219,1370.41943359375
2064,473.9989929199219,1360.099365234375
2065,473.9570007324219,1349.829345703125
2066,473.8729858398438,1339.58935546875
2067,473.7469787597656,1329.389404296875
2068,473.5780029296875,1319.219360351562
2069,473.364990234375,1309.08935546875
2070,473.1099853515625,1298.989379882812
2071,472.8110046386719,1288.91943359375
2072,472.4580078125,1278.849365234375
2073,472.0409851074219,1268.729370117188
2074,471.5610046386719,1258.5693359375
2075,471.0180053710938,1248.369384765625
2076,470.4140014648438,1238.1494140625
2077,469.7489929199219,1227.889404296875
2078,469.0220031738281,1217.609375
2079,468.2359924316406,1207.309326171875
2080,467.3900146484375,1196.989379882812
2081,466.4840087890625,1186.659423828125
2082,465.5360107421875,1176.589477539062
2083,464.5610046386719,1167.039428710938
2084,463.5580139160156,1157.9794921875
2085,462.5270080566406,1149.369506835938
2086,461.4660034179688,1141.179565429688
2087,460.375,1133.379516601562
2088,459.2550048828125,1125.939575195312
2089,458.10400390625,1118.82958984375
2090,456.9240112304688,1112.029541015625
2091,455.7130126953125,1105.509643554688
2092,454.5020141601562,1099.259643554688
2093,453.3190002441406,1093.239624023438
2094,452.1600036621094,1087.439575195312
2095,451.0240173339844,1081.849609375
2096,449.9089965820312,1076.439697265625
2097,448.81201171875,1071.209594726562
2098,447.7340087890625,1066.129638671875
2099,446.6719970703125,1061.209716796875
2100,445.625,1056.40966796875
2101,444.5920104980469,1051.789672851562
2102,443.5780029296875,1047.4697265625
2103,442.5859985351562,1043.509765625
2104,441.614013671875,1039.899780273438
2105,440.6620178222656,1036.579711914062
2106,439.72900390625,1033.519775390625
2107,438.8130187988281,1030.699829101562
2108,437.9140014648438,1028.08984375
2109,437.031005859375,1025.669799804688
2110,436.1629943847656,1023.409851074219
2111,435.3110046386719,1021.309814453125
2112,434.4729919433594,1019.33984375
2113,433.6499938964844,1017.489807128906
2114,432.8399963378906,1015.749816894531
2115,432.0440063476562,1014.10986328125
2116,431.2610168457031,1012.559875488281
2117,430.4909973144531,1011.079833984375
2118,429.7340087890625,1009.669860839844
2119,428.9880065917969,1008.319885253906
2120,428.2539978027344,1007.029846191406
2121,427.5320129394531,1005.779846191406
2122,426.8210144042969,1004.579833984375
2123,426.1199951171875,1003.409851074219
2124,425.4309997558594,1002.279846191406
2125,424.7510070800781,1001.179870605469
2126,424.0820007324219,1000.099853515625
2127,423.4230041503906,999.0488891601562
2128,422.7740173339844,998.016845703125
2129,422.1340026855469,997.0018920898438
2130,421.5039978027344,996.0028686523438
2131,420.8820190429688,995.0178833007812
2132,420.27001953125,994.0448608398438
2133,419.6669921875,993.0828857421875
2134,419.0719909667969,992.1288452148438
2135,418.4850158691406,991.1838989257812
2136,417.9070129394531,990.244873046875
2137,417.3370056152344,989.3118896484375
2138,416.7749938964844,988.3838500976562
2139,416.2210083007812,987.4598999023438
2140,415.6750183105469,986.5388793945312
2141,415.1360168457031,985.6218872070312
2142,414.6119995117188,984.7058715820312
2143,414.1080017089844,983.7918701171875
2144,413.625,982.8798828125
2145,413.1610107421875,981.9678955078125
2146,412.7149963378906,981.0548706054688
2147,412.2879943847656,980.1428833007812
2148,411.8779907226562,979.2288818359375
2149,411.4850158691406,978.3138427734375
2150,411.1090087890625,977.3978881835938
2151,410.7489929199219,976.4788818359375
2152,410.4020080566406,975.557861328125
2153,410.0630187988281,974.6338500976562
2154,409.7340087890625,973.7078857421875
2155,409.4129943847656,972.7788696289062
2156,409.1019897460938,971.8458862304688
2157,408.7990112304688,970.910888671875
2158,408.5060119628906,969.9718627929688
2159,408.2210083007812,969.0298461914062
2160,407.9450073242188,968.0838623046875
2161,407.6790161132812,967.1348876953125
2162,407.4200134277344,966.182861328125
2163,407.1709899902344,965.2268676757812
2164,406.9309997558594,964.2678833007812
2165,406.6990051269531,963.3048706054688
2166,406.4750061035156,962.337890625
2167,406.260009765625,961.3678588867188
2168,406.0540161132812,960.3928833007812
2169,405.8559875488281,959.4158325195312
2170,405.6669921875,958.433837890625
2171,405.4859924316406,957.4478759765625
2172,405.31298828125,956.4588623046875
2173,405.1489868164062,955.4658813476562
2174,404.9930114746094,954.4688720703125
2175,404.843994140625,953.4678344726562
2176,404.7040100097656,952.4628295898438
2177,404.572998046875,951.454833984375
2178,404.4490051269531,950.4418334960938
2179,404.3330078125,949.4248657226562
2180,404.2250061035156,948.4038696289062
2181,404.125,947.3788452148438
2182,404.0329895019531,946.349853515625
2183,403.947998046875,945.3168334960938
2184,403.8710021972656,944.2798461914062
2185,403.802001953125,943.2378540039062
2186,403.7409973144531,942.19287109375
2187,403.68701171875,941.1458740234375
2188,403.6419982910156,940.100830078125
2189,403.60400390625,939.056884765625
2190,403.5750122070312,938.0138549804688
2191,403.5530090332031,936.9718627929688
2192,403.5320129394531,935.9308471679688
2193,403.5050048828125,934.8888549804688
2194,403.4739990234375,933.8478393554688
2195,403.43798828125,932.806884765625
2196,403.3989868164062,931.7648315429688
2197,403.3559875488281,930.723876953125
2198,403.3099975585938,929.6818237304688
2199,403.2619934082031,928.6398315429688
2200,403.2109985351562,927.5978393554688
2201,403.1579895019531,926.5558471679688
2202,403.1029968261719,925.5138549804688
2203,403.0459899902344,924.4718627929688
2204,402.9880065917969,923.4288330078125
2205,402.9280090332031,922.3858642578125
2206,402.8659973144531,921.3428344726562
2207,402.8039855957031,920.2998657226562
2208,402.739990234375,919.2568359375
2209,402.6759948730469,918.2128295898438
2210,402.6099853515625,917.1688232421875
2211,402.5440063476562,916.1248779296875
2212,402.4769897460938,915.0808715820312
2213,402.4089965820312,914.0358276367188
2214,402.3410034179688,912.9908447265625
2215,402.2720031738281,911.9458618164062
2216,402.2019958496094,910.90087890625
2217,402.1319885253906,909.8548583984375
2218,402.06201171875,908.808837890625
2219,401.9909973144531,907.7628784179688
2220,401.9200134277344,906.7168579101562
2221,401.8479919433594,905.6698608398438
2222,401.7760009765625,904.6228637695312
2223,401.7040100097656,903.5748291015625
2224,401.6319885253906,902.52783203125
2225,401.5589904785156,901.4798583984375
2226,401.4859924316406,900.4318237304688
2227,401.4129943847656,899.3828735351562
2228,401.3399963378906,898.3338623046875
2229,401.2669982910156,897.2848510742188
2230,401.1929931640625,896.23486328125
2231,401.1199951171875,895.1848754882812
2232,401.0459899902344,894.1338500976562
2233,400.9719848632812,893.0838623046875
2234,400.8980102539062,892.0328369140625
2235,400.8250122070312,890.9808349609375
2236,400.7510070800781,889.9288330078125
2237,400.677001953125,888.8768310546875
2238,400.6029968261719,887.8238525390625
2239,400.5289916992188,886.7708740234375
2240,400.4540100097656,885.7178344726562
2241,400.3800048828125,884.663818359375
2242,400.3059997558594,883.60986328125
2243,400.2319946289062,882.5548706054688
2244,400.1579895019531,881.5008544921875
2245,400.0840148925781,880.44482421875
2246,400.010009765625,879.3888549804688
2247,399.9360046386719,878.3328247070312
2248,399.8619995117188,877.27685546875
2249,399.7879943847656,876.2188720703125
2250,399.7139892578125,875.161865234375
2251,399.6400146484375,874.1038208007812
2252,399.5660095214844,873.1008911132812
2253,399.4920043945312,872.1988525390625
2254,399.4179992675781,871.3888549804688
2255,399.343994140625,870.661865234375
2256,399.2690124511719,870.0098876953125
2257,399.1940002441406,869.4238891601562
2258,399.1180114746094,868.8988647460938
2259,399.0419921875,868.4268798828125
2260,398.9660034179688,868.00390625
2261,398.8900146484375,867.6248779296875
2262,398.81298828125,867.284912109375
2263,398.7369995117188,866.9799194335938
2264,398.6600036621094,866.7058715820312
2265,398.5830078125,866.4608764648438
2266,398.5060119628906,866.2418823242188
2267,398.4289855957031,866.044921875
2268,398.3519897460938,865.868896484375
2269,398.2749938964844,865.7119140625
2270,398.197998046875,865.5698852539062
2271,398.1220092773438,865.4439086914062
2272,398.0450134277344,865.3308715820312
2273,397.9679870605469,865.2299194335938
2274,397.8919982910156,865.139892578125
2275,397.8160095214844,865.0588989257812
2276,397.739013671875,864.9868774414062
2277,397.6629943847656,864.921875
2278,397.5870056152344,864.8638916015625
2279,397.5119934082031,864.8129272460938
2280,397.4360046386719,864.7669067382812
2281,397.3609924316406,864.7258911132812
2282,397.2850036621094,864.6889038085938
2283,397.2099914550781,864.6558837890625
2284,397.135009765625,864.6268920898438
2285,397.0610046386719,864.6008911132812
2286,396.9859924316406,864.576904296875
2287,396.9119873046875,864.555908203125
2288,396.8380126953125,864.5379028320312
2289,396.7640075683594,864.5208740234375
2290,396.6900024414062,864.5059204101562
2291,396.6159973144531,864.4918823242188
