Year,Earth Historic Demand (TWh),Asia Pacific Historic Demand (TWh),North America Historic Demand (TWh),Europe Historic Demand (TWh),Eurasia Historic Demand (TWh),Central & South America Historic Demand (TWh),Middle East Historic Demand (TWh),Africa Historic Demand (TWh),United States Historic Demand (TWh),China Historic Demand (TWh),European Union Historic Demand (TWh),Japan Historic Demand (TWh),Russia Historic Demand (TWh),India Historic Demand (TWh),SouthEast Asia Historic Demand (TWh),Brazil Historic Demand (TWh)
2000,14971.9,3753.73,4583.4400000000005,1014.4900000000001,987.1899999999999,778.6199999999999,430.4699999999999,423.01,3835.86,1346.85,2636.78,988.4,819.42,572.74,368.59,385.58
2001,15196.46,3922.3500000000013,4500.9,1022.648,996.6799999999998,768.05,455.59000000000003,438.41,3749.6,1472.19,2700.8099999999995,970.17,827.29,587.36,397.1,361.02
2002,15733.31,4176.539999999999,4632.77,1031.256,1014.12,792.29,487.6599999999999,463.2799999999999,3865.21,1645.6,2729.3300000000004,986.56,838.78,610.99,422.83000000000004,376.85
2003,16291.95,4483.46,4643.67,1048.504,1038.29,831.3900000000001,517.99,486.3900000000001,3875.36,1903.22,2800.0999999999995,975.95,855.39,639.82,447.29,397.09
2004,17093.28,4921.2300000000005,4754.450000000001,1071.7320000000002,1065.23,877.2299999999999,549.85,515.6899999999999,3963.26,2197.23,2857.18,1004.65,878.61,700.02,485.96999999999997,418.55
2005,17763.98,5268.930000000001,4872.09,1094.33,1078.99,913.0899999999999,598.2599999999999,536.16,4059.77,2494.08,2890.1000000000004,1015.16,889.43,706.07,510.50999999999993,434.76
2006,18471.82,5729.64,4874.89,1114.49,1119.1000000000001,960.7099999999999,643.27,561.2700000000001,4065.36,2858.84,2935.3500000000013,1032.38,926.61,747.17,536.0899999999999,453.09
2007,19357.71,6276.06,4998.59,1139.6499999999999,1146.48,1004.43,679.6899999999999,588.1500000000002,4173.82,3271.23,2962.1500000000005,1073.51,948.12,801.2,566.77,476.0
2008,19660.13,6467.120000000002,4969.02,1158.15,1163.07,1032.9099999999996,703.64,597.6299999999999,4140.35,3482.96,2976.6899999999996,1005.92,967.32,833.92,593.5299999999999,496.9
2009,19561.48,6721.779999999999,4779.93,1107.32,1118.08,1041.62,752.32,601.13,3973.87,3703.26,2830.94,977.19,925.42,885.01,615.95,498.65
2010,20938.54,7432.47,4959.5,1164.58,1169.17,1099.7499999999998,814.6299999999999,667.51,4139.92,4173.8,2954.9300000000003,1082.17,965.89,943.02,678.81,545.43
2011,21654.65,8037.120000000001,4980.639999999999,1173.9700000000003,1189.3700000000001,1140.49,835.0500000000001,675.8199999999998,4126.12,4678.61,2912.4100000000008,1046.98,976.87,1039.12,713.05,563.28
2012,22170.24,8384.47,4939.03,1194.3,1219.8200000000002,1183.5900000000001,875.5,703.27,4087.93,4956.48,2913.0500000000006,1046.6,998.25,1096.48,764.55,587.42
2013,22808.52,8878.57,4987.59,1190.29,1215.5200000000002,1226.7200000000005,910.9299999999998,722.1399999999999,4113.49,5397.41,2885.8400000000006,1029.79,990.72,1150.09,809.7999999999998,603.82
2014,23423.19,9387.180000000002,5027.64,1167.34,1230.6700000000003,1224.6600000000003,979.71,747.88,4149.22,5756.9,2822.97,1028.71,1000.45,1262.59,852.79,615.64
2015,23660.57,9435.839999999998,5024.639999999999,1171.47,1231.18,1258.3600000000001,1033.3400000000001,767.2599999999999,4150.66,5775.36,2866.6600000000003,1004.81,999.4,1322.05,893.47,605.99
2016,24294.81,9877.409999999998,5038.42,1186.3000000000002,1254.22,1263.8600000000004,1053.81,775.6499999999999,4154.06,6078.25,2895.52,1004.97,1019.63,1400.54,959.8100000000001,612.19
2017,25026.85,10445.66,5000.66,1195.3500000000001,1271.5,1271.14,1109.36,805.6399999999999,4108.62,6545.21,2921.830000000001,1008.99,1026.54,1469.03,1005.1500000000001,617.51
2018,26022.34,11158.56,5166.96,1208.64,1288.76,1291.25,1113.8299999999997,820.5400000000001,4246.01,7105.38,2920.49,1012.06,1034.99,1574.88,1064.4699999999998,629.12
2019,26366.21,11517.819999999998,5097.23,1197.71,1303.0900000000001,1293.6399999999996,1149.14,827.6299999999998,4197.42,7444.69,2879.879999999999,992.26,1045.15,1618.77,1120.06,643.62
2020,26275.23,11708.52,4986.5199999999995,1178.12,1295.5800000000002,1291.8400000000006,1142.5700000000002,806.5700000000002,4090.49,7718.23,2770.0399999999995,964.13,1036.24,1562.6,1106.26,639.09
2021,27812.74,12667.080000000004,5118.78,1232.5600000000002,1364.76,1362.57,1211.87,839.3200000000002,4191.53,8466.32,2887.9899999999993,958.53,1092.69,1711.87,1154.45,685.68
