Year,Earth Other Renewables (TWh),Earth Bioenergy (TWh),Earth Solar (TWh),Earth Wind (TWh),Earth Hydro (TWh),Earth Nuclear (TWh),Earth Oil (TWh),Earth Gas (TWh),Earth Coal (TWh),Asia Pacific Other Renewables (TWh),Asia Pacific Bioenergy (TWh),Asia Pacific Solar (TWh),Asia Pacific Wind (TWh),Asia Pacific Hydro (TWh),Asia Pacific Nuclear (TWh),Asia Pacific Oil (TWh),Asia Pacific Gas (TWh),Asia Pacific Coal (TWh),North America Other Renewables (TWh),North America Bioenergy (TWh),North America Solar (TWh),North America Wind (TWh),North America Hydro (TWh),North America Nuclear (TWh),North America Oil (TWh),North America Gas (TWh),North America Coal (TWh),Europe Other Renewables (TWh),Europe Bioenergy (TWh),Europe Solar (TWh),Europe Wind (TWh),Europe Hydro (TWh),Europe Nuclear (TWh),Europe Oil (TWh),Europe Gas (TWh),Europe Coal (TWh),Eurasia Other Renewables (TWh),Eurasia Bioenergy (TWh),Eurasia Solar (TWh),Eurasia Wind (TWh),Eurasia Hydro (TWh),Eurasia Nuclear (TWh),Eurasia Oil (TWh),Eurasia Gas (TWh),Eurasia Coal (TWh),Central & South America Other Renewables (TWh),Central & South America Bioenergy (TWh),Central & South America Solar (TWh),Central & South America Wind (TWh),Central & South America Hydro (TWh),Central & South America Nuclear (TWh),Central & South America Oil (TWh),Central & South America Gas (TWh),Central & South America Coal (TWh),Middle East Other Renewables (TWh),Middle East Bioenergy (TWh),Middle East Solar (TWh),Middle East Wind (TWh),Middle East Hydro (TWh),Middle East Nuclear (TWh),Middle East Oil (TWh),Middle East Gas (TWh),Middle East Coal (TWh),Africa Other Renewables (TWh),Africa Bioenergy (TWh),Africa Solar (TWh),Africa Wind (TWh),Africa Hydro (TWh),Africa Nuclear (TWh),Africa Oil (TWh),Africa Gas (TWh),Africa Coal (TWh),United States Other Renewables (TWh),United States Bioenergy (TWh),United States Solar (TWh),United States Wind (TWh),United States Hydro (TWh),United States Nuclear (TWh),United States Oil (TWh),United States Gas (TWh),United States Coal (TWh),China Other Renewables (TWh),China Bioenergy (TWh),China Solar (TWh),China Wind (TWh),China Hydro (TWh),China Nuclear (TWh),China Oil (TWh),China Gas (TWh),China Coal (TWh),European Union Other Renewables (TWh),European Union Bioenergy (TWh),European Union Solar (TWh),European Union Wind (TWh),European Union Hydro (TWh),European Union Nuclear (TWh),European Union Oil (TWh),European Union Gas (TWh),European Union Coal (TWh),Japan Other Renewables (TWh),Japan Bioenergy (TWh),Japan Solar (TWh),Japan Wind (TWh),Japan Hydro (TWh),Japan Nuclear (TWh),Japan Oil (TWh),Japan Gas (TWh),Japan Coal (TWh),Russia Other Renewables (TWh),Russia Bioenergy (TWh),Russia Solar (TWh),Russia Wind (TWh),Russia Hydro (TWh),Russia Nuclear (TWh),Russia Oil (TWh),Russia Gas (TWh),Russia Coal (TWh),India Other Renewables (TWh),India Bioenergy (TWh),India Solar (TWh),India Wind (TWh),India Hydro (TWh),India Nuclear (TWh),India Oil (TWh),India Gas (TWh),India Coal (TWh),SouthEast Asia Other Renewables (TWh),SouthEast Asia Bioenergy (TWh),SouthEast Asia Solar (TWh),SouthEast Asia Wind (TWh),SouthEast Asia Hydro (TWh),SouthEast Asia Nuclear (TWh),SouthEast Asia Oil (TWh),SouthEast Asia Gas (TWh),SouthEast Asia Coal (TWh),Brazil Other Renewables (TWh),Brazil Bioenergy (TWh),Brazil Solar (TWh),Brazil Wind (TWh),Brazil Hydro (TWh),Brazil Nuclear (TWh),Brazil Oil (TWh),Brazil Gas (TWh),Brazil Coal (TWh)
2000,52.37,148.41,1.08,31.16,2621.47,2507.43,1173.34,2717.7,5718.94,6.109999999999999,21.48,0.43,2.4899999999999998,471.5700000000001,480.85999999999996,325.71999999999997,393.51000000000005,2050.86,20.02,74.97999999999999,0.52,5.87,657.75,830.86,216.52999999999997,685.3,2092.81,1.4000000000000001,4.51,0.01,1.02,252.49,187.52,27.070000000000004,268.5,269.39,0.06,0.07,0.0,0.0,213.32000000000002,124.3,47.82000000000001,399.82,213.54,2.13,9.639999999999999,0.01,0.24,545.0599999999998,10.93,88.48,96.44,27.009999999999998,0,0.03,0.0,0.04,8.07,0.0,147.46,273.28999999999996,0.48,0.43,2.0900000000000003,0.0,0.23,74.52,13.01,34.58999999999999,101.36999999999999,194.59,14.09,60.73,0.49,5.59,270.03,753.89,116.02,614.99,1966.27,0,2.54,0.02,0.59,222.41,16.74,47.27,5.77,1060.26,5.29,30.11,0.10999999999999999,21.269999999999996,350.16999999999996,859.95,229.23,331.4799999999999,800.3299999999999,3.35,13.97,0.35,0.11,86.38,305.95,155.55,219.99,202.75,0.06,0.07,0.0,0.0,164.08,122.46,31.25,349.73,165.82,0,1.69,0.01,1.58,76.99,15.77,29.16,55.96,390.23,16.93,5.5,0.0,0.0,50.370000000000005,0,56.8,167.99,71.03,0,7.41,0.0,0.0,301.36,4.94,14.37,3.84,10.66
2001,52.6,142.9,1.35,38.16,2561.15,2573.71,1157.32,2867.51,5801.76,6.11,22.179999999999996,0.57,3.439999999999999,519.27,484.22,297.8400000000001,409.82000000000005,2178.3400000000006,20.490000000000002,64.69,0.5700000000000001,7.1000000000000005,566.35,849.98,235.97000000000003,725.66,2030.3,1.54,5.1,0.01,1.09,227.184,191.73000000000002,25.93,264.57000000000005,286.8,0.09,0.11,0.0,0.0,221.99,127.35,45.150000000000006,407.32,210.67999999999998,2.4,10.9,0.01,0.30000000000000004,510.82000000000005,20.81,90.86,106.61999999999999,24.119999999999997,0,0.03,0.0,0.03,8.48,0.0,143.35999999999999,302.12,0.47,0.48,2.0700000000000003,0.0,0.46,81.22,10.72,34.99,108.42999999999999,199.20000000000002,14.89,49.75,0.54,6.74,208.14,768.83,135.59,639.13,1903.96,0,2.55,0.03,0.72,277.43,17.47,48.52,4.93,1129.14,5.09,31.900000000000002,0.19,25.740000000000002,373.43000000000006,888.9000000000001,231.65999999999994,354.3299999999999,792.9200000000001,3.43,13.89,0.47,0.25,83.32,303.86,130.85,218.16,215.94,0.09,0.11,0.0,0.0,173.9,125.36,28.36,355.95,159.46,0,2.07,0.01,2.09,72.02,18.89,26.79,55.93,408.29,16.4,5.920000000000001,0.0,0.0,54.260000000000005,0,51.93,188.64,80.01,0,8.47,0.0,0.04,265.2,14.27,14.99,9.35,10.85
2002,54.08,156.22,1.69,52.04,2601.49,2601.89,1135.84,3071.37,6058.69,6.02,24.3,0.8,3.8899999999999997,527.4599999999999,479.32000000000005,312.84,442.77,2379.2200000000003,21.57,68.8,0.5800000000000001,10.78,627.34,861.0699999999999,190.7,791.05,2061.01,1.53,5.6,0.01,1.4200000000000002,238.77800000000002,191.70999999999998,25.59,279.83,276.06,0.16,0.16,0.0,0.01,213.26,136.23,42.81,414.75,213.37,2.55,12.509999999999998,0.01,0.42000000000000004,535.51,19.23,91.73999999999998,106.98000000000002,22.939999999999998,0,0.03,0.0,0.03,11.67,0.0,141.92999999999998,332.07,0.52,0.39,2.06,0.02,0.43000000000000005,83.41000000000003,11.99,33.35000000000001,125.87,205.13,16.14,53.71,0.55,10.35,255.59,780.06,103.69,691.01,1933.13,0,2.55,0.05,0.84,287.97,25.13,50.7,4.19,1282.57,5.25,36.8,0.27,35.06,312.6000000000001,902.34,242.74000000000007,372.8100000000002,814.3400000000001,3.37,15.1,0.67,0.41,81.55,280.34,151.67,221.61,231.84,0.16,0.16,0.0,0.01,162.22,134.14,25.89,363.4,160.9,0,2.14,0.01,2.09,68.54,19.35,27.93,62.88,426.7,16.61,5.96,0.0,0.0,53.31999999999999,0,54.52,205.24,87.16,0,9.66,0.0,0.06,283.23,13.84,12.77,11.72,9.01
2003,56.07,167.59,2.07,63.43,2602.17,2577.71,1154.97,3203.84,6464.1,6.12,25.810000000000006,1.06,5.33,543.8399999999999,453.38,322.87000000000006,467.83,2656.88,23.160000000000004,68.39,0.56,12.04,621.02,844.86,212.86,757.1899999999999,2103.78,1.5,6.6499999999999995,0.02,1.61,214.372,196.20999999999998,23.71,292.21000000000004,294.5,0.32,0.34,0.0,0.01,212.33,142.98999999999998,42.42,435.31,219.91,2.52,14.719999999999997,0.01,0.5,558.73,20.43,90.27,123.44,22.099999999999998,0,0.03,0.0,0.03,14.139999999999999,0.0,146.64999999999998,354.85,0.47,0.79,1.9200000000000004,0.02,0.6100000000000001,81.67999999999996,12.66,34.37999999999999,133.55999999999997,219.95,16.85,53.34,0.53,11.19,267.27,763.73,132.38,649.91,1973.74,0,2.54,0.06,1.0,283.68,43.34,54.83,5.16,1519.97,5.92,43.160000000000004,0.4,43.300000000000004,304.64000000000004,907.18,227.81,420.73999999999995,849.0400000000001,3.48,15.31,0.9,0.83,93.66,228.01,156.43,230.66,246.67,0.32,0.34,0.0,0.01,155.76,141.17,25.55,383.33,162.29,0,2.71,0.02,2.6,69.3,18.14,31.09,72.8,441.47,15.74,6.57,0.0,0.0,53.28,0,54.33,218.71,98.50999999999999,0,11.26,0.0,0.06,302.56,13.4,10.25,12.41,8.96
2004,57.94,184.57,2.71,85.26,2796.82,2682.73,1140.43,3445.59,6697.23,6.05,28.150000000000006,1.38,8.96,646.67,505.65000000000003,322.76,493.25000000000006,2906.9400000000005,23.56,69.43,0.6,15.110000000000001,622.31,883.13,215.38,832.2,2093.22,1.57,7.950000000000001,0.02,2.3099999999999996,235.67600000000004,192.63,21.52,308.19,280.64,0.4,0.42,0.0,0.01,233.62999999999997,139.67,38.4,450.98,213.82000000000002,2.77,16.169999999999998,0.01,0.52,580.0799999999999,18.91,96.02,135.67,26.480000000000004,0,0.03,0.0,0.05,17.71,0.0,152.64,376.83000000000004,0.48,1.03,2.1499999999999995,0.02,0.78,86.53999999999998,14.28,31.240000000000006,149.83,229.73999999999998,16.95,53.54,0.58,14.14,259.93,788.53,129.88,710.1,1978.3,0,2.53,0.08,1.28,353.54,50.47,65.53,7.46,1722.42,5.99,52.75999999999999,0.6800000000000002,57.51999999999998,323.18999999999994,928.46,204.59,460.38000000000005,835.42,3.37,15.75,1.19,1.3,93.12,268.32,145.87,221.73,254.0,0.4,0.42,0.0,0.01,175.82,137.47,22.53,398.05,151.53,0,3.31,0.02,5.23,100.64,21.26,28.27,76.58,463.01,16.57,7.51,0.0,0.0,52.879999999999995,0,58.22,238.26,111.50999999999999,0,11.78,0.0,0.06,317.59,11.6,11.65,18.19,10.3
2005,58.74,208.44,3.78,103.89,2895.29,2686.95,1142.16,3619.81,7044.92,6.51,35.459999999999994,1.69,11.42,671.8499999999999,531.29,314.4800000000001,491.25,3203.89,23.97,70.8,0.5800000000000001,19.4,649.44,879.14,209.86,877.0500000000001,2142.5899999999997,1.75,9.62,0.03,3.53,255.13,192.49,24.59,314.91999999999996,290.06999999999994,0.41,0.43,0.0,0.01,229.74000000000004,140.14,37.35999999999999,468.32,217.12,2.73,20.39,0.01,0.52,613.93,15.57,99.67000000000003,131.12,27.459999999999994,0,0.04,0.0,0.07,25.77,0.0,159.77999999999997,410.93999999999994,0.57,1.0,2.8099999999999996,0.02,0.8300000000000001,88.65,12.24,37.83,160.51,232.11,16.64,54.28,0.55,17.81,263.76,781.99,126.13,760.96,2012.87,0,5.32,0.08,1.95,397.02,53.09,50.51,12.14,1980.15,5.870000000000001,60.999999999999986,1.4500000000000002,68.08999999999999,307.02,916.08,199.65000000000003,514.7200000000001,808.8899999999999,3.23,18.39,1.49,1.75,75.71,280.5,154.87,211.93,267.29,0.41,0.43,0.0,0.01,172.68,137.64,20.02,414.51,156.11,0,4.04,0.02,5.99,97.42,17.73,25.37,75.47,478.48,16.5,7.89,0.0,0.02,53.76,0,59.29,250.98,122.22000000000001,0,12.79,0.0,0.09,334.08,9.2,11.05,17.7,10.81
2006,60.11,221.65,5.11,132.79,3002.08,2721.42,1050.03,3835.74,7442.89,6.569999999999999,38.879999999999995,2.03,18.1,740.58,547.61,272.40000000000003,544.88,3556.8199999999997,23.21,70.3,0.54,29.12,662.0999999999999,890.0600000000001,130.39,960.09,2110.55,2.7199999999999998,9.91,0.03,5.06,242.45,192.04000000000002,23.9,303.84,324.81,0.46,0.48,0.0,0.0,224.21,147.07,45.65,490.02000000000004,229.01999999999998,2.9299999999999997,21.810000000000002,0.01,0.7400000000000001,641.3299999999998,20.130000000000003,102.08,138.71999999999997,30.540000000000003,0,0.05,0.0,0.13,29.200000000000003,0.0,183.35,426.90999999999997,0.56,1.01,2.65,0.03,0.8700000000000001,91.85000000000004,10.07,40.469999999999985,172.29000000000002,238.98,16.51,54.86,0.51,26.59,282.69,787.22,71.61,816.44,1990.51,0,7.13,0.09,3.71,435.79,54.84,37.92,23.82,2302.42,6.08,69.86000000000001,2.47,78.72000000000004,309.98,914.44,194.33999999999995,542.5000000000001,816.4999999999999,3.08,18.38,1.79,2.17,86.65,291.54,130.05,236.16,262.56,0.46,0.48,0.0,0.0,173.35,144.65,22.99,431.85,168.64,0,5.59,0.01,9.34,112.62,17.63,19.08,74.7,505.46,17.130000000000003,7.710000000000001,0.0,0.05,60.38,0,57.81,256.49,135.10999999999999,0,13.99,0.0,0.24,345.32,12.98,11.68,17.21,10.51
2007,62.87,244.16,6.92,170.91,3046.29,2666.92,1075.01,4148.18,7936.45,6.800000000000001,45.370000000000005,2.4199999999999995,24.17,784.9999999999998,526.75,289.52,618.5899999999999,3978.179999999999,24.119999999999997,71.46,0.65,37.72,631.52,904.56,133.14,1052.91,2143.38,3.74,10.28,0.04,6.619999999999999,244.76999999999998,182.06,23.549999999999997,345.1499999999999,325.23,0.49,0.45,0.0,0.01,230.3,150.34,39.13,514.12,227.58999999999997,3.2199999999999998,26.16,0.01,1.09,662.2099999999999,18.37,118.65,138.57,33.730000000000004,0,0.05,0.0,0.14,27.72,0.0,191.45,456.82,0.57,1.02,2.5800000000000005,0.03,1.1800000000000002,93.92,12.6,44.300000000000004,180.91000000000005,247.14000000000001,16.7,55.54,0.61,34.45,240.61,806.42,75.19,896.59,2016.46,0,9.86,0.11,5.48,485.26,62.13,28.09,33.91,2656.7,6.24,78.43,3.77,99.92,307.71999999999997,872.2400000000002,179.92000000000002,574.5300000000001,828.7399999999999,3.04,19.86,2.02,2.61,73.27,267.34,163.41,261.95,280.01,0.49,0.45,0.0,0.01,177.05,147.99,16.24,458.62,160.07,0,7.4,0.06,11.68,122.61,17.83,13.36,90.05,533.27,17.240000000000002,9.38,0.0,0.06,63.13000000000001,0,55.72000000000001,266.58,151.89,0,16.97,0.0,0.64,370.27,11.65,12.5,14.56,10.58
2008,65.97,259.69,11.36,220.07,3231.24,2656.04,1030.12,4252.14,7933.5,7.130000000000001,49.41,2.9299999999999993,35.63999999999999,927.81,511.7,246.58000000000007,617.0699999999999,4071.02,24.39,69.81,0.91,59.42,661.01,903.87,112.33,1038.08,2099.64,4.2,10.600000000000001,0.05,8.97,255.97000000000003,168.60000000000002,26.13,360.54,323.35,0.47,0.46,0.0,0.0,214.39999999999998,154.33,33.879999999999995,521.87,257.01,3.3600000000000003,28.869999999999997,0.01,1.2700000000000002,666.9399999999999,20.060000000000002,123.66000000000001,152.29999999999998,34.18,0,0.05,0.0,0.2,14.16,0.0,219.29000000000002,468.2199999999999,0.39,1.19,2.73,0.04,1.29,95.56,12.75,48.37000000000001,189.85000000000002,241.37,17.32,55.03,0.86,55.36,248.54,806.21,55.43,882.98,1985.8,0,14.87,0.15,13.1,636.96,68.39,18.81,34.57,2708.91,6.2,88.08999999999997,7.42,113.22000000000003,325.59000000000003,884.73,168.53,613.8699999999999,757.0100000000001,2.75,17.17,2.25,2.94,75.68,241.25,137.14,259.82,266.92,0.47,0.46,0.0,0.0,164.76,152.06,15.19,466.49,185.52,0,9.3,0.06,14.38,115.17,15.23,15.27,85.88,573.12,19.03,9.670000000000002,0.0,0.06,69.8,0,51.730000000000004,290.34,149.53,0,18.91,0.0,0.84,365.86,13.21,16.69,27.51,11.67
2009,68.02,281.05,19.19,275.88,3229.67,2619.0,956.85,4288.49,7823.33,7.970000000000001,56.32000000000001,3.929999999999999,54.309999999999995,897.5600000000001,535.25,187.87000000000006,662.06,4316.369999999999,24.24,69.79,1.0,81.13,660.23,894.09,101.73,1087.28,1860.91,4.99,11.55,0.09000000000000001,11.849999999999998,249.66000000000003,178.29,23.46,340.85999999999996,293.76,0.46,0.47,0.0,0.0,224.96,155.07,30.09,503.43999999999994,222.69,3.39,32.61,0.01,2.0300000000000002,683.6899999999998,19.810000000000002,120.67000000000003,142.07999999999998,33.81,0,0.05,0.01,0.23,12.44,0.0,240.02,496.18999999999994,0.38,1.36,2.9499999999999997,0.06,1.6900000000000002,98.61,11.57,54.75000000000001,193.22999999999993,231.68,17.47,54.49,0.89,73.89,268.82,798.85,48.53,920.98,1755.9,0,20.86,0.28,27.61,615.64,70.05,12.12,56.56,2911.52,5.989999999999999,97.24000000000001,14.079999999999998,124.57000000000001,328.9999999999999,824.92,147.99000000000004,566.31,703.55,2.89,16.89,2.76,3.61,76.13,263.05,86.81,267.74,257.31,0.46,0.47,0.0,0.0,174.18,152.78,15.11,442.46,154.82,0,11.64,0.08,16.27,106.34,16.82,13.08,104.37,611.11,19.62,10.07,0.01,0.06999999999999999,73.52,0,50.660000000000004,297.03999999999996,160.17999999999998,0,21.81,0.0,1.24,387.08,12.22,13.75,12.71,9.86
