,Year,Earth - CH4 SSP1-1.9 (tot) (Gg/yr),Earth - CH4 SSP1-2.6 (tot) (Gg/yr),Earth - CH4 SSP2-4.5 (tot) (Gg/yr),Earth - CH4 SSP3-7.0 (tot) (Gg/yr),Earth - CH4 SSP3-8.5 (tot) (Gg/yr)
0,2015,388072.79566332104,388072.79566332104,388072.79566332104,388072.79566332104,388072.795663322
1,2020,358907.754704624,347490.96804304,388090.572662264,418454.211983515,397464.394299078
2,2030,243027.020440337,285852.108554515,399446.24506778305,471330.79345100705,454467.56002918497
3,2040,200612.861931378,242790.147758616,382796.74623023404,515545.70500218804,542292.73707973
4,2050,170196.861886999,211108.79957522498,357166.938784911,558974.274240731,590297.639508796
5,2060,157558.89723178602,190891.541336658,329321.436368543,602318.52926391,597910.178870416
6,2070,146459.703505756,166436.311844769,316639.03967876,647129.4055003161,597128.413114236
7,2080,132247.397297608,139312.168422122,302907.28350756597,693382.453027711,568979.040417831
8,2090,120764.306098986,130129.686253669,298816.324015873,735323.192603251,513330.81660127593
9,2100,111721.246089592,122195.342902874,295152.93661000696,777732.192287466,482145.484923179
