,Year,Earth - CO2 SSP1-1.9 (tot) (Gg/yr),Earth - CO2 SSP1-2.6 (tot) (Gg/yr),Earth - CO2 SSP2-4.5 (tot) (Gg/yr),Earth - CO2 SSP3-7.0 (tot) (Gg/yr),Earth - CO2 SSP3-8.5 (tot) (Gg/yr)
0,2015,39152726.2983861,39152726.2983861,39152726.2983861,39152726.2983861,39152726.2983861
1,2020,39693726.451687396,39804013.4329135,40647529.8965056,44808038.2241732,43712348.564522006
2,2030,22847270.9173938,34734423.6538734,43476062.5524666,52847359.3168546,55296583.2256573
3,2040,10475088.8193786,26509182.688349,44252900.0312976,58497969.8277256,68775698.2044147
4,2050,2050361.55775863,17963539.1054858,43462190.0425296,62904058.6222294,83298219.94213429
5,2060,-1525978.31742005,10527978.660350999,40196484.829485595,66568367.615251504,100338606.181868
6,2070,-4476970.149421349,4476328.32268894,35235433.73202,70041978.5674313,116805249.302523
7,2080,-7308782.578870091,-3285043.2711175103,26838373.4455749,73405225.92126809,129647035.019421
8,2090,-10565022.8295996,-8385182.965290481,16324391.561679399,77799049.42126809,130576238.81942101
9,2100,-13889787.5467543,-8617786.21970578,9682858.79405513,82725833.1212681,126287309.719421
