Year,SSP2-4.5 CO2 (ppm),SSP2-4.5 CH4 (ppb)
2015,399.9490966796875,1841.942626953125
2016,403.1169738769531,1851.594116210938
2017,405.761962890625,1873.799194335938
2018,408.6319580078125,1887.041015625
2019,411.5059509277344,1899.41064453125
2020,414.3899536132812,1910.970581054688
2021,417.2869567871094,1921.790649414062
2022,420.1979675292969,1932.060546875
2023,423.1249694824219,1941.940551757812
2024,426.0689697265625,1951.460571289062
2025,429.0299682617188,1960.650512695312
2026,432.0109558105469,1969.54052734375
2027,435.011962890625,1978.150512695312
2028,438.032958984375,1986.490478515625
2029,441.0769653320312,1994.600463867188
2030,444.1429443359375,2002.48046875
2031,447.2319641113281,2010.150390625
2032,450.3329467773438,2017.230346679688
2033,453.4349670410156,2023.390258789062
2034,456.5409545898438,2028.680297851562
2035,459.6519470214844,2033.160278320312
2036,462.7699584960938,2036.900146484375
2037,465.8969421386719,2039.940185546875
2038,469.032958984375,2042.340087890625
2039,472.178955078125,2044.130126953125
2040,475.3359680175781,2045.360107421875
2041,478.5039672851562,2046.079956054688
2042,481.6739501953125,2046.109985351562
2043,484.8379516601562,2045.279907226562
2044,487.9959411621094,2043.659912109375
2045,491.1499633789062,2041.309814453125
2046,494.2999572753906,2038.269775390625
2047,497.4469604492188,2034.599731445312
2048,500.5919494628906,2030.339721679688
2049,503.7339477539062,2025.539672851562
2050,506.8749694824219,2020.239624023438
2051,510.0139465332031,2014.469604492188
2052,513.136962890625,2008.199584960938
2053,516.22998046875,2001.399536132812
2054,519.2919311523438,1994.109619140625
2055,522.325927734375,1986.369506835938
2056,525.3319702148438,1978.20947265625
2057,528.3099365234375,1969.669555664062
2058,531.260986328125,1960.76953125
2059,534.1859741210938,1951.549438476562
2060,537.0849609375,1942.029418945312
2061,539.9579467773438,1932.2294921875
2062,542.7949829101562,1922.45947265625
2063,545.5869750976562,1912.989501953125
2064,548.3349609375,1903.78955078125
2065,551.0389404296875,1894.859497070312
2066,553.699951171875,1886.169555664062
2067,556.3189697265625,1877.709594726562
2068,558.8949584960938,1869.459594726562
2069,561.4309692382812,1861.429565429688
2070,563.9249877929688,1853.57958984375
2071,566.3799438476562,1845.909545898438
2072,568.77197265625,1838.339599609375
2073,571.0829467773438,1830.78955078125
2074,573.31396484375,1823.259643554688
2075,575.4659423828125,1815.749633789062
2076,577.5399780273438,1808.259643554688
2077,579.5369873046875,1800.799560546875
2078,581.4579467773438,1793.36962890625
2079,583.303955078125,1785.969604492188
2080,585.073974609375,1778.599609375
2081,586.7699584960938,1771.269653320312
2082,588.3779907226562,1764.149658203125
2083,589.885986328125,1757.40966796875
2084,591.2959594726562,1751.029663085938
2085,592.6089477539062,1744.979736328125
2086,593.824951171875,1739.23974609375
2087,594.9449462890625,1733.799682617188
2088,595.969970703125,1728.619750976562
2089,596.8999633789062,1723.709716796875
2090,597.7349853515625,1719.02978515625
2091,598.4769897460938,1714.56982421875
2092,599.1499633789062,1710.33984375
2093,599.7760009765625,1706.31982421875
2094,600.35498046875,1702.509765625
2095,600.885986328125,1698.8798828125
2096,601.365966796875,1695.429809570312
2097,601.7969970703125,1692.139892578125
2098,602.177001953125,1689.009887695312
2099,602.5050048828125,1686.019897460938
2100,602.781982421875,1683.159912109375
2101,603.0050048828125,1680.429809570312
2102,603.2179565429688,1677.689819335938
2103,603.458984375,1674.809814453125
2104,603.7239990234375,1671.7998046875
2105,604.011962890625,1668.669799804688
2106,604.3219604492188,1665.429809570312
2107,604.6499633789062,1662.08984375
2108,604.9959716796875,1658.649780273438
2109,605.3569946289062,1655.119750976562
2110,605.7340087890625,1651.509765625
2111,606.1239624023438,1647.829833984375
2112,606.5269775390625,1644.079833984375
2113,606.9420166015625,1640.259765625
2114,607.3670043945312,1636.389770507812
2115,607.802978515625,1632.459716796875
2116,608.2479858398438,1628.479736328125
2117,608.7009887695312,1624.44970703125
2118,609.1629638671875,1620.379760742188
2119,609.6329956054688,1616.269775390625
2120,610.1099853515625,1612.119750976562
2121,610.5929565429688,1607.939819335938
2122,611.0819702148438,1603.729736328125
2123,611.5780029296875,1599.479736328125
2124,612.0789794921875,1595.2197265625
2125,612.5849609375,1590.9296875
2126,613.094970703125,1586.609741210938
2127,613.6109619140625,1582.27978515625
2128,614.1300048828125,1577.919799804688
2129,614.6539916992188,1573.549682617188
2130,615.1809692382812,1569.159790039062
2131,615.7119750976562,1564.759765625
2132,616.2459716796875,1560.349731445312
2133,616.7839965820312,1555.919799804688
2134,617.323974609375,1551.479736328125
2135,617.8670043945312,1547.02978515625
2136,618.4129638671875,1542.579711914062
2137,618.9609985351562,1538.109741210938
2138,619.511962890625,1533.639770507812
2139,620.06396484375,1529.149780273438
2140,620.6190185546875,1524.669677734375
2141,621.1759643554688,1520.169677734375
2142,621.7340087890625,1515.669677734375
2143,622.2949829101562,1511.169677734375
2144,622.8569946289062,1506.659790039062
2145,623.4199829101562,1502.149780273438
2146,623.9849853515625,1497.639770507812
2147,624.5509643554688,1493.119750976562
2148,625.1190185546875,1488.599731445312
2149,625.68701171875,1484.079711914062
2150,626.2570190429688,1479.559692382812
2151,626.8280029296875,1475.02978515625
2152,627.3939819335938,1470.499755859375
2153,627.948974609375,1465.979736328125
2154,628.4940185546875,1461.44970703125
2155,629.0269775390625,1456.919677734375
2156,629.5509643554688,1452.399780273438
2157,630.06396484375,1447.869750976562
2158,630.5670166015625,1443.339721679688
2159,631.0609741210938,1438.819702148438
2160,631.5440063476562,1434.289672851562
2161,632.0169677734375,1429.769775390625
2162,632.4810180664062,1425.249755859375
2163,632.9340209960938,1420.729736328125
2164,633.3779907226562,1416.209716796875
2165,633.81298828125,1411.69970703125
2166,634.2379760742188,1407.189697265625
2167,634.6530151367188,1402.6796875
2168,635.0590209960938,1398.169677734375
2169,635.4550170898438,1393.669677734375
2170,635.8419799804688,1389.15966796875
2171,636.218994140625,1384.65966796875
2172,636.5869750976562,1380.169677734375
2173,636.9450073242188,1375.669677734375
2174,637.2940063476562,1371.1796875
2175,637.6339721679688,1366.689697265625
2176,637.9639892578125,1362.209716796875
2177,638.2849731445312,1357.7197265625
2178,638.5969848632812,1353.23974609375
2179,638.8989868164062,1348.769653320312
2180,639.1920166015625,1344.289672851562
2181,639.4749755859375,1339.819702148438
2182,639.75,1335.349731445312
2183,640.0150146484375,1330.889770507812
2184,640.27001953125,1326.4296875
2185,640.5169677734375,1321.9697265625
2186,640.7539672851562,1317.509765625
2187,640.9819946289062,1313.059692382812
2188,641.2000122070312,1308.609741210938
2189,641.4099731445312,1304.15966796875
2190,641.6099853515625,1299.709716796875
2191,641.8009643554688,1295.269653320312
2192,641.9819946289062,1290.829711914062
2193,642.1549682617188,1286.3896484375
2194,642.3179931640625,1281.959716796875
2195,642.4719848632812,1277.529663085938
2196,642.6170043945312,1273.099731445312
2197,642.7520141601562,1268.669677734375
2198,642.8789672851562,1264.23974609375
2199,642.9959716796875,1259.819702148438
2200,643.10400390625,1255.399658203125
2201,643.2030029296875,1250.98974609375
2202,643.2919921875,1246.569702148438
2203,643.3729858398438,1242.15966796875
2204,643.4439697265625,1237.749755859375
2205,643.5059814453125,1233.339721679688
2206,643.5590209960938,1228.939697265625
2207,643.6029663085938,1224.539672851562
2208,643.6380004882812,1220.1396484375
2209,643.6630249023438,1215.73974609375
2210,643.6799926757812,1211.339721679688
2211,643.68701171875,1206.94970703125
2212,643.6859741210938,1202.559692382812
2213,643.6749877929688,1198.169677734375
2214,643.6549682617188,1193.779663085938
2215,643.6259765625,1189.399658203125
2216,643.5880126953125,1185.019653320312
2217,643.5399780273438,1180.6396484375
2218,643.4840087890625,1176.259643554688
2219,643.4190063476562,1171.879638671875
2220,643.344970703125,1167.509643554688
2221,643.260986328125,1163.1396484375
2222,643.1690063476562,1158.769653320312
2223,643.0670166015625,1154.399658203125
2224,642.9569702148438,1150.029663085938
2225,642.8380126953125,1145.669677734375
2226,642.708984375,1141.309692382812
2227,642.572021484375,1136.94970703125
2228,642.4249877929688,1132.589721679688
2229,642.27001953125,1128.229736328125
2230,642.1060180664062,1123.879638671875
2231,641.9329833984375,1119.519653320312
2232,641.75,1115.169677734375
2233,641.5590209960938,1110.819702148438
2234,641.3590087890625,1106.479736328125
2235,641.1500244140625,1102.129638671875
2236,640.9320068359375,1097.789672851562
2237,640.7059936523438,1093.44970703125
2238,640.469970703125,1089.109741210938
2239,640.2260131835938,1084.769653320312
2240,639.9730224609375,1080.4296875
2241,639.7109985351562,1076.099731445312
2242,639.4400024414062,1071.759643554688
2243,639.1599731445312,1067.4296875
2244,638.8720092773438,1063.099731445312
2245,638.573974609375,1058.769653320312
2246,638.2680053710938,1054.44970703125
2247,637.9539794921875,1050.19970703125
2248,637.6300048828125,1046.059692382812
2249,637.2979736328125,1042.039672851562
2250,636.9569702148438,1038.109741210938
2251,636.6069946289062,1034.269775390625
2252,636.2550048828125,1030.669799804688
2253,635.906982421875,1027.469848632812
2254,635.5599975585938,1024.60986328125
2255,635.2160034179688,1022.06982421875
2256,634.8729858398438,1019.809814453125
2257,634.531982421875,1017.789855957031
2258,634.1929931640625,1015.989868164062
2259,633.85498046875,1014.399841308594
2260,633.5180053710938,1012.969848632812
2261,633.1829833984375,1011.699890136719
2262,632.8489990234375,1010.569885253906
2263,632.5170288085938,1009.569885253906
2264,632.1859741210938,1008.669921875
2265,631.8569946289062,1007.8798828125
2266,631.5289916992188,1007.169921875
2267,631.2030029296875,1006.529907226562
2268,630.8790283203125,1005.969909667969
2269,630.5559692382812,1005.469909667969
2270,630.2340087890625,1005.019897460938
2271,629.9149780273438,1004.619934082031
2272,629.5969848632812,1004.269897460938
2273,629.280029296875,1003.949890136719
2274,628.9660034179688,1003.669921875
2275,628.6530151367188,1003.419921875
2276,628.3410034179688,1003.199890136719
2277,628.031005859375,1002.999938964844
2278,627.7230224609375,1002.819946289062
2279,627.4169921875,1002.659912109375
2280,627.1119995117188,1002.509948730469
2281,626.8079833984375,1002.389892578125
2282,626.5059814453125,1002.269897460938
2283,626.2059936523438,1002.169921875
2284,625.906982421875,1002.079895019531
2285,625.6099853515625,1001.989929199219
2286,625.3140258789062,1001.919921875
2287,625.02001953125,1001.849914550781
2288,624.7269897460938,1001.789916992188
2289,624.4359741210938,1001.729919433594
2290,624.14599609375,1001.679931640625
2291,623.8569946289062,1001.639953613281
2292,623.5700073242188,1001.599914550781
2293,623.2839965820312,1001.559936523438
2294,622.9990234375,1001.519958496094
2295,622.7160034179688,1001.489929199219
2296,622.4340209960938,1001.459899902344
2297,622.1530151367188,1001.429931640625
2298,621.8729858398438,1001.39990234375
2299,621.594970703125,1001.379943847656
2300,621.3179931640625,1001.349914550781
2301,621.0419921875,1001.329956054688
2302,620.7670288085938,1001.309936523438
2303,620.4940185546875,1001.289916992188
2304,620.2210083007812,1001.269958496094
2305,619.9500122070312,1001.249938964844
2306,619.6799926757812,1001.229919433594
2307,619.4099731445312,1001.209899902344
2308,619.1420288085938,1001.18994140625
2309,618.875,1001.169921875
2310,618.6090087890625,1001.159912109375
2311,618.344970703125,1001.139953613281
2312,618.0809936523438,1001.119934082031
2313,617.8179931640625,1001.099914550781
2314,617.5559692382812,1001.089904785156
2315,617.2949829101562,1001.069946289062
2316,617.0349731445312,1001.049926757812
2317,616.7760009765625,1001.039916992188
2318,616.5180053710938,1001.019958496094
2319,616.260986328125,1000.999938964844
2320,616.0040283203125,1000.989929199219
2321,615.7490234375,1000.969909667969
2322,615.4949951171875,1000.949951171875
2323,615.2410278320312,1000.93994140625
2324,614.9879760742188,1000.919921875
2325,614.7360229492188,1000.89990234375
2326,614.4849853515625,1000.879943847656
2327,614.2349853515625,1000.869934082031
2328,613.9860229492188,1000.849914550781
2329,613.7369995117188,1000.829956054688
2330,613.489990234375,1000.809936523438
2331,613.2429809570312,1000.799926757812
2332,612.9970092773438,1000.779907226562
2333,612.7520141601562,1000.759948730469
2334,612.5070190429688,1000.739929199219
2335,612.2630004882812,1000.719909667969
2336,612.02001953125,1000.699951171875
2337,611.7780151367188,1000.679931640625
2338,611.5369873046875,1000.669921875
2339,611.2960205078125,1000.64990234375
2340,611.0559692382812,1000.629943847656
2341,610.8159790039062,1000.609924316406
2342,610.5780029296875,1000.589904785156
2343,610.3400268554688,1000.569946289062
2344,610.10302734375,1000.549926757812
2345,609.8660278320312,1000.529907226562
2346,609.6300048828125,1000.509948730469
2347,609.39501953125,1000.489929199219
2348,609.1610107421875,1000.469909667969
2349,608.927001953125,1000.449951171875
2350,608.6939697265625,1000.429931640625
2351,608.4619750976562,1000.409912109375
2352,608.22998046875,1000.379943847656
2353,607.9990234375,1000.359924316406
2354,607.7680053710938,1000.339904785156
2355,607.5380249023438,1000.319946289062
2356,607.3090209960938,1000.299926757812
2357,607.0800170898438,1000.279907226562
2358,606.8519897460938,1000.259948730469
2359,606.625,1000.229919433594
2360,606.3980102539062,1000.209899902344
2361,606.1710205078125,1000.18994140625
2362,605.9459838867188,1000.169921875
2363,605.7210083007812,1000.139953613281
2364,605.4959716796875,1000.119934082031
2365,605.27197265625,1000.099914550781
2366,605.0490112304688,1000.079956054688
2367,604.8259887695312,1000.049926757812
2368,604.60400390625,1000.029907226562
2369,604.3820190429688,1000.009948730469
2370,604.1610107421875,999.98095703125
2371,603.9409790039062,999.9569091796875
2372,603.7210083007812,999.9329223632812
2373,603.5009765625,999.908935546875
2374,603.281982421875,999.8849487304688
2375,603.0640258789062,999.8599243164062
2376,602.8460083007812,999.8348999023438
2377,602.6279907226562,999.8099365234375
2378,602.4110107421875,999.784912109375
2379,602.1950073242188,999.7599487304688
2380,601.97900390625,999.7339477539062
2381,601.7639770507812,999.7079467773438
2382,601.5490112304688,999.6819458007812
2383,601.333984375,999.6559448242188
2384,601.1199951171875,999.6299438476562
2385,600.906982421875,999.6029052734375
2386,600.6939697265625,999.575927734375
2387,600.4819946289062,999.5489501953125
2388,600.27001953125,999.5219116210938
2389,600.0579833984375,999.4949340820312
2390,599.8469848632812,999.4669189453125
2391,599.635986328125,999.4389038085938
2392,599.426025390625,999.4109497070312
2393,599.2160034179688,999.3829345703125
2394,599.0070190429688,999.3539428710938
2395,598.7979736328125,999.324951171875
2396,598.5900268554688,999.2958984375
2397,598.3820190429688,999.2659301757812
2398,598.1740112304688,999.2369384765625
2399,597.9669799804688,999.2069091796875
2400,597.760009765625,999.1759033203125
2401,597.5540161132812,999.1459350585938
2402,597.3480224609375,999.1149291992188
2403,597.1420288085938,999.0839233398438
2404,596.93701171875,999.0519409179688
2405,596.7319946289062,999.0209350585938
2406,596.5280151367188,998.9879150390625
2407,596.323974609375,998.9559326171875
2408,596.1209716796875,998.9229125976562
2409,595.9169921875,998.8899536132812
2410,595.7150268554688,998.85595703125
2411,595.5120239257812,998.8229370117188
2412,595.3099975585938,998.7879028320312
2413,595.1079711914062,998.75390625
2414,594.906982421875,998.7189331054688
2415,594.7059936523438,998.6829223632812
2416,594.5050048828125,998.6469116210938
2417,594.3049926757812,998.6109008789062
2418,594.10498046875,998.5739135742188
2419,593.905029296875,998.5369262695312
2420,593.7059936523438,998.4989013671875
2421,593.5070190429688,998.4609375
2422,593.3079833984375,998.4219360351562
2423,593.1090087890625,998.3829345703125
2424,592.9110107421875,998.3439331054688
2425,592.7139892578125,998.305908203125
2426,592.5159912109375,998.2709350585938
2427,592.3200073242188,998.2389526367188
2428,592.1240234375,998.2079467773438
2429,591.927978515625,998.179931640625
2430,591.7319946289062,998.1539306640625
2431,591.5380249023438,998.12890625
2432,591.343017578125,998.10595703125
2433,591.1489868164062,998.0839233398438
2434,590.9559936523438,998.0639038085938
2435,590.7630004882812,998.0439453125
2436,590.5700073242188,998.02490234375
2437,590.3779907226562,998.0069580078125
2438,590.18701171875,997.9899291992188
2439,589.9949951171875,997.9739379882812
2440,589.8049926757812,997.9579467773438
2441,589.614013671875,997.9429321289062
2442,589.4249877929688,997.9279174804688
2443,589.2349853515625,997.9139404296875
2444,589.0460205078125,997.89990234375
2445,588.8579711914062,997.8859252929688
2446,588.6690063476562,997.8729248046875
2447,588.4819946289062,997.8599243164062
2448,588.2940063476562,997.846923828125
2449,588.1079711914062,997.8348999023438
2450,587.9210205078125,997.8218994140625
2451,587.7349853515625,997.8099365234375
2452,587.5499877929688,997.7979125976562
2453,587.364013671875,997.7859497070312
2454,587.1799926757812,997.77490234375
2455,586.9949951171875,997.762939453125
2456,586.8109741210938,997.751953125
2457,586.6279907226562,997.7399291992188
2458,586.4450073242188,997.7289428710938
2459,586.2620239257812,997.7179565429688
2460,586.0800170898438,997.7069091796875
2461,585.8980102539062,997.6959228515625
2462,585.7160034179688,997.6849365234375
2463,585.5349731445312,997.6739501953125
2464,585.35400390625,997.6639404296875
2465,585.1740112304688,997.6529541015625
2466,584.9940185546875,997.6419067382812
2467,584.8140258789062,997.6319580078125
2468,584.635009765625,997.6209106445312
2469,584.4559936523438,997.6099243164062
2470,584.2780151367188,997.5999145507812
2471,584.0999755859375,997.5899047851562
2472,583.9219970703125,997.5789184570312
2473,583.7449951171875,997.5689086914062
2474,583.5679931640625,997.5588989257812
2475,583.3909912109375,997.5479125976562
2476,583.2150268554688,997.5379028320312
2477,583.0399780273438,997.5279541015625
2478,582.864013671875,997.5179443359375
