,HadCRUT,NOAA,Berkeley,Kadow,,HadCRUT confidence limit lower,HadCRUT confidence limit upper
1850,-0.063333333,-0.019803922,-0.069215686,-0.082352941,,-0.232700829,0.110387651
1851,0.126666667,0.060196078,0.000784314,0.007647059,,-0.055365749,0.301670484
1852,0.126666667,0.060196078,0.040784314,0.087647059,,-0.052880259,0.307086451
1853,0.086666667,0.040196078,0.030784314,0.027647059,,-0.073507169,0.245802637
1854,0.066666667,0.050196078,0.020784314,0.057647059,,-0.076321759,0.206066041
1855,0.056666667,0.040196078,0.040784314,0.057647059,,-0.082855589,0.201957521
1856,0.036666667,-0.089803922,-0.089215686,-0.062352941,,-0.111591049,0.183887971
1857,-0.113333333,-0.109803922,-0.209215686,-0.152352941,,-0.259819989,0.038364231
1858,-0.033333333,-0.049803922,-0.039215686,-0.032352941,,-0.180383869,0.115856851
1859,0.076666667,0.080196078,0.070784314,0.047647059,,-0.067347649,0.217961101
1860,-0.033333333,-0.059803922,-0.069215686,-0.062352941,,-0.182474429,0.115148421
1861,-0.073333333,-0.069803922,-0.149215686,-0.072352941,,-0.240727929,0.095178031
1862,-0.183333333,-0.119803922,-0.229215686,-0.082352941,,-0.347207429,-0.012583679
1863,0.016666667,0.030196078,-0.049215686,0.007647059,,-0.177662329,0.201980271
1864,-0.113333333,-0.009803922,-0.049215686,-0.022352941,,-0.291595229,0.073726171
1865,0.026666667,0.050196078,0.030784314,0.027647059,,-0.168150429,0.215979051
1866,0.016666667,0.070196078,0.090784314,0.027647059,,-0.165336079,0.195819101
1867,-0.003333333,0.000196078,0.120784314,0.077647059,,-0.196559969,0.195637641
1868,0.006666667,0.040196078,0.100784314,0.097647059,,-0.173156089,0.182239041
1869,0.036666667,0.060196078,0.070784314,0.067647059,,-0.119920589,0.199784051
1870,0.026666667,0.020196078,0.020784314,0.017647059,,-0.112171299,0.169393911
1871,-0.013333333,0.010196078,-0.019215686,-0.002352941,,-0.157647129,0.133490081
1872,0.026666667,0.010196078,0.020784314,0.037647059,,-0.106581129,0.163501531
1873,0.016666667,-0.009803922,0.040784314,0.017647059,,-0.116037429,0.146377101
1874,-0.013333333,-0.029803922,-0.019215686,-0.022352941,,-0.150640429,0.117142371
1875,-0.023333333,-0.019803922,-0.029215686,0.047647059,,-0.157538829,0.119291321
1876,-0.063333333,-0.029803922,-0.049215686,-0.032352941,,-0.206368989,0.071153491
1877,0.256666667,0.230196078,0.330784314,0.267647059,,0.126682161,0.384104519
1878,0.346666667,0.250196078,0.400784314,0.327647059,,0.225289591,0.465084361
1879,0.056666667,0.080196078,0.080784314,0.117647059,,-0.077562159,0.183297871
1880,0.036666667,0.010196078,0.010784314,0.067647059,,-0.083648779,0.164988961
1881,0.126666667,0.060196078,0.120784314,0.157647059,,-0.001432809,0.249946121
1882,0.056666667,0.070196078,0.060784314,0.067647059,,-0.063647929,0.185592111
1883,0.006666667,-0.039803922,0.010784314,0.017647059,,-0.104315529,0.124371061
1884,-0.133333333,-0.119803922,-0.149215686,-0.112352941,,-0.246166429,-0.025469369
1885,-0.113333333,-0.149803922,-0.119215686,-0.152352941,,-0.226566029,-0.002676789
1886,-0.063333333,-0.079803922,-0.159215686,-0.152352941,,-0.166036029,0.037233141
1887,-0.143333333,-0.139803922,-0.189215686,-0.202352941,,-0.260057689,-0.024509529
1888,-0.023333333,0.000196078,0.010784314,-0.032352941,,-0.136821599,0.091068171
1889,0.106666667,0.080196078,0.140784314,0.117647059,,-0.015718759,0.228932001
1890,-0.153333333,-0.129803922,-0.149215686,-0.152352941,,-0.275907329,-0.024804629
1891,-0.043333333,-0.019803922,-0.039215686,-0.052352941,,-0.180867729,0.091242221
1892,-0.153333333,-0.089803922,-0.099215686,-0.142352941,,-0.287826359,-0.014286329
1893,-0.133333333,-0.149803922,-0.079215686,-0.112352941,,-0.275029229,-0.001204849
1894,-0.123333333,-0.059803922,-0.079215686,-0.142352941,,-0.269065929,0.014542431
1895,-0.093333333,-0.029803922,-0.009215686,-0.102352941,,-0.225518469,0.041019571
1896,0.076666667,0.110196078,0.080784314,0.087647059,,-0.060899329,0.205889091
1897,0.096666667,0.090196078,0.100784314,0.067647059,,-0.042022079,0.235426101
1898,-0.133333333,-0.059803922,-0.119215686,-0.142352941,,-0.261147029,0.002567141
1899,-0.003333333,0.000196078,0.050784314,0.017647059,,-0.129894769,0.132031811
1900,0.126666667,0.080196078,0.160784314,0.097647059,,-0.010465429,0.254511681
1901,0.066666667,0.040196078,0.080784314,0.067647059,,-0.073171709,0.199318931
1902,-0.083333333,-0.069803922,-0.069215686,-0.092352941,,-0.218925929,0.053961751
1903,-0.173333333,-0.149803922,-0.169215686,-0.182352941,,-0.304317179,-0.049331279
1904,-0.243333333,-0.259803922,-0.229215686,-0.222352941,,-0.372330329,-0.109788179
1905,-0.053333333,-0.069803922,-0.049215686,-0.042352941,,-0.178526929,0.076028611
1906,0.036666667,-0.029803922,0.030784314,0.057647059,,-0.094021679,0.168747401
1907,-0.143333333,-0.159803922,-0.119215686,-0.112352941,,-0.269779629,-0.025531479
1908,-0.153333333,-0.229803922,-0.159215686,-0.152352941,,-0.280978089,-0.033759029
